Gene	Sub_Types	Cell_Types
EPCAM	epithelial	Epithelial
EGFR	epithelial	Epithelial
CDH1	epithelial	Epithelial
KRT14	basal-epithelial	Epithelial
ITGA6	basal-epithelial	Epithelial
KRT5	basal-epithelial	Epithelial
TP63	basal-epithelial	Epithelial
KRT17	basal-epithelial	Epithelial
MME	basal-epithelial	Epithelial
KRT8	luminal-epithelial	Epithelial
KRT18	luminal-epithelial	Epithelial
KRT19	luminal-epithelial	Epithelial
FOXA1	luminal-epithelial	Epithelial
GATA3	luminal-epithelial	Epithelial
MUC1	luminal-epithelial	Epithelial
CD24	luminal-epithelial	Epithelial
KIT	luminal-progenitor	Epithelial
GABRP	luminal-progenitor	Epithelial
FAP	stroma	Stroma
COL1A1	stroma	Stroma
COL3A1	stroma	Stroma
COL5A1	stroma	Stroma
ACTA2	stroma	Stroma
TAGLN	stroma	Stroma
LUM	stroma	Stroma
FBLN1	stroma	Stroma
COL6A3	stroma	Stroma
COL1A2	stroma	Stroma
COL6A1	stroma	Stroma
COL6A2	stroma	Stroma
PECAM1	endothelial	Endothelial
VWF	endothelial	Endothelial
CDH5	endothelial	Endothelial
SELE	endothelial	Endothelial
PTPRC	immune	Immune
CD2	T-cell	Immune
CD3D	T-cell	Immune
CD3E	T-cell	Immune
CD3G	T-cell	Immune
CD8A	T-cell	Immune
CD8B	T-cell	Immune
MS4A1	B-cell	Immune
CD79A	B-cell	Immune
CD79B	B-cell	Immune
BLNK	B-cell	Immune
CD14	macrophage	Immune
CD68	macrophage	Immune
CD163	macrophage	Immune
CSF1R	macrophage	Immune
